Institute,Academic Program Name,Quota,Seat Type,Gender,Opening_R1,Closing_R1
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Aeronautical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,94757,94757
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Aerospace Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,90119,90119
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Aerospace Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,80099,80099
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,92733,92733
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,109748,109748
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,104746,104746
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,84428,84428
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (Cyber Security) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111502,111502
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111679,111679
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (IOT) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106469,106469
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110471,110471
"A.G.M Rural College of Engineering and Technology-Varur, Hubballi","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,87966,87966
"A.G.M Rural College of Engineering and Technology-Varur, Hubballi","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,101469,101469
"A.G.M Rural College of Engineering and Technology-Varur, Hubballi","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,107183,107183
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Aeronautical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,95021,95021
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Aeronautical Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,101846,101846
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,109229,109229
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,109296,109296
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Civil Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,107819,107819
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,109518,109518
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,108388,108388
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111096,111096
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,92917,92917
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,100328,100328
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,87495,87495
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Electrical & Electronics Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,108308,108308
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111162,111162
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Electronics & Communicati on Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,62066,62066
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Electronics & Communication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,86980,86980
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Electronics & Communication Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,69006,69006
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Information Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,75402,75402
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Mechanical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,103137,103137
"APS College of Engineering-Kanakapura Road, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110299,110299
"APS College of Engineering-Kanakapura Road, Bengaluru","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,94218,94218
"APS College of Engineering-Kanakapura Road, Bengaluru","Computer Science & Engineering (Cyber Security) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106002,106002
"APS College of Engineering-Kanakapura Road, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,107673,107673
"APS College of Engineering-Kanakapura Road, Bengaluru","Information Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111599,111599
"ATME College of Engineering-Bannur Road, Mysuru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,105603,105603
"ATME College of Engineering-Bannur Road, Mysuru","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,99599,99599
"ATME College of Engineering-Bannur Road, Mysuru","Computer Science & Engineering (Cyber Security) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,89303,89303
"ATME College of Engineering-Bannur Road, Mysuru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,101487,101487
"ATME College of Engineering-Bannur Road, Mysuru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110767,110767
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Aeronautical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,104061,104061
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Aeronautical Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,97600,97600
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,99107,99107
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,86498,86498
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Bio technology (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,59900,59900
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Bio technology (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,94718,94718
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Bio- technology (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,105937,105937
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Bio- technology (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,94718,94718
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Biotechnology (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,83584,83584
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Civil Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,90907,90907
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,109781,109781
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,95420,95420
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,103486,103486
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,102464,102464
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Electrical & Electronics Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,104887,104887
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Electrical & Electronics Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,107783,107783
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,44652,44652
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,97035,97035
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Electronics & Communica- tion Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,87540,87540
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Electronics & Communicati on Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,89548,89548
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Electronics & Communication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,48966,48966
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Electronics & Communication Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,72647,72647
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Information Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106733,106733
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Information Science & Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,87959,87959
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Mech- atronics Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,62208,62208
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Mech- atronics Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,91138,91138
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Mechanical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,107616,107616
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Mechanical Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,83862,83862
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Mechatronics Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,90218,90218
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Robotics & Artificial Intelligence (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,70413,70413
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Robotics & Artificial Intelligence (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,101252,101252
"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106484,106484
"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,109207,109207
"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,107613,107613
"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru","Electrical & Electronics Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,108350,108350
"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110191,110191
"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru","Electronics & Communication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,80525,80525
"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru","Information Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106976,106976
"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru","Mechanical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106615,106615
"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru","Robotics & Artificial Intelligence (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106625,106625
"Aditya College of Engineering and Technology-Yelahanka, Bengaluru","Artificial Intelligence & Data Science (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110705,110705
"Aditya College of Engineering and Technology-Yelahanka, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,108541,108541
"Aditya College of Engineering and Technology-Yelahanka, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111282,111282
"Aditya College of Engineering and Technology-Yelahanka, Bengaluru","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,79094,79094
"Aditya College of Engineering and Technology-Yelahanka, Bengaluru","Computer Science & Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,108579,108579
"Aditya College of Engineering and Technology-Yelahanka, Bengaluru","Data Science (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,74590,74590
"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural","Artificial Intelligence & Data Science (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110202,110202
"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111733,111733
"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural","Computer Science & Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,100736,100736
"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111733,111733
"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural","Computer Science & Engineering (Cyber Security) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,108734,108734
"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106210,106210
"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,100871,100871
"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural","Information Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,97311,97311
"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural","Mechanical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,68496,68496
"Akshaya Institute of Technology-Koratagere Road, Tumakuru","Artificial Intelligence & Data Science (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,104749,104749
"Akshaya Institute of Technology-Koratagere Road, Tumakuru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,108040,108040
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Aerospace Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,94827,94827
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Aerospace Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,39198,39198
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,47387,47387
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,69829,69829
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Bio technology (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,33867,33867
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Bio- technology (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,104355,104355
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Civil Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106343,106343
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110415,110415
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,59585,59585
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Computer Science & Engineering (Block Chain) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,109154,109154
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Computer Science & Engineering (Block Chain) (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,110168,110168
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Computer Science & Engineering (Cyber Security) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106533,106533
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Computer Science & Engineering (Cyber Security) (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,27795,27795
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Computer Science & Engineering (IOT) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,80186,80186
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Computer Science & Engineering (IOT) (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,75713,75713
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Computer Science & Technology (Devops) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,86640,86640
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Computer Science & Technology (Devops) (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,63261,63261
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Electrical & Electronics Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,98617,98617
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Electrical & Electronics Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,96249,96249
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,35890,35890
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,77801,77801
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Electronics & Communica- tion Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,85976,85976
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Electronics & Communicati on Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110448,110448
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Electronics & Communication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,28364,28364
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Information Technology (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,75155,75155
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Information Technology (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,99005,99005
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Information Technology (Augmented Reality and Virtual Reality (AR / VR) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,67223,67223
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Information Technology (Data Analytics) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,109750,109750
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru","Mechanical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,96855,96855
"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru","Agricultural Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,109807,109807
"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru","Agriculture Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,97806,97806
"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,109512,109512
"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110618,110618
"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,108885,108885
"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru","Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,105112,105112
"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110471,110471
"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru","Information Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,105816,105816
"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru","Mechanical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,59506,59506
"Amruta Institute of Engineering and Management Science- Bidadi, Ramnagar Taluk, Bengaluru Rural","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,42529,42529
"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk, Bengaluru Rural","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,81494,81494
"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk, Bengaluru Rural","Civil Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,94606,94606
"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk, Bengaluru Rural","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110891,110891
"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk, Bengaluru Rural","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,103927,103927
"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk, Bengaluru Rural","Information Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,95332,95332
"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk, Bengaluru Rural","Mechanical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,87491,87491
"Angadi Institute of Technology and Management-Savagaon Road, Belagavi","Artificial Intelligence & Data Science (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,95863,95863
"Angadi Institute of Technology and Management-Savagaon Road, Belagavi","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110388,110388
"Angadi Institute of Technology and Management-Savagaon Road, Belagavi","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,104692,104692
"Angadi Institute of Technology and Management-Savagaon Road, Belagavi","Electronics & Communicati on Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,107672,107672
"Anuvartik Mirji Bharatesh Institute of Technology-Shindhollicross, Belagavi","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,108895,108895
"Anuvartik Mirji Bharatesh Institute of Technology-Shindhollicross, Belagavi","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110299,110299
"Anuvartik Mirji Bharatesh Institute of Technology-Shindhollicross, Belagavi","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,109578,109578
"Atria Institute of Technology-Hebbal, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,98519,98519
"Atria Institute of Technology-Hebbal, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,106136,106136
"Atria Institute of Technology-Hebbal, Bengaluru","Civil Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,108782,108782
"Atria Institute of Technology-Hebbal, Bengaluru","Computer Science & Design (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,90768,90768
"Atria Institute of Technology-Hebbal, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,99556,99556
"Atria Institute of Technology-Hebbal, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,107333,107333
"Atria Institute of Technology-Hebbal, Bengaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111230,111230
"Atria Institute of Technology-Hebbal, Bengaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,65760,65760
"Atria Institute of Technology-Hebbal, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,109370,109370
"Atria Institute of Technology-Hebbal, Bengaluru","Electronics & Communica- tion Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110946,110946
"Atria Institute of Technology-Hebbal, Bengaluru","Electronics & Communicati on Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110946,110946
"Atria Institute of Technology-Hebbal, Bengaluru","Electronics & Computer Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,64641,64641
"Atria Institute of Technology-Hebbal, Bengaluru","Information Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,109052,109052
"Atria Institute of Technology-Hebbal, Bengaluru","Mechanical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,97836,97836
"Atria Institute of Technology-Hebbal, Bengaluru","Robotics & Automation (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,104693,104693
"B.N.M. Institute of Technology-Banashankari, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,43182,43182
"B.N.M. Institute of Technology-Banashankari, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,57776,57776
"B.N.M. Institute of Technology-Banashankari, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,36964,36964
"B.N.M. Institute of Technology-Banashankari, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,52860,52860
"B.N.M. Institute of Technology-Banashankari, Bengaluru","Electrical & Electronics Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,91589,91589
"B.N.M. Institute of Technology-Banashankari, Bengaluru","Electrical & Electronics Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,86589,86589
"B.N.M. Institute of Technology-Banashankari, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,23857,23857
